database_name,query,difficulty,uuid
sakila,"Показать 20 последних платежей клиентов на сумму более 8.00, отсортировав их по дате платежа от новых к старым.",easy,f1140c84-b66d-490e-9d83-3de6d176eb54
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме убыванию.",easy,3cda7385-21da-4f07-abde-73f56b1349a0
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,c83b36a8-ef82-457d-b1d6-02d545d29bbc
sakila,"Показать идентификатор платежа, клиента, сотрудника, сумму и дату платежа для операций на сумму больше 8.00, отсортировав их по сумме по убыванию и вывести первые 20 записей.",easy,062cd950-c5ed-4e87-813b-52cad44d2c5e
sakila,"Показать 20 крупнейших платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,4c5c111e-4f35-4ce4-8b66-cbd766a6f310
sakila,"Показать последние 10 платежей клиентов на сумму более 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,9cc40573-ad05-4c35-b394-299be6964d46
sakila,"Показать 20 последних платежей на сумму больше 8.00 с идентификатором клиента, идентификатором платежа, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,53027735-3f07-4adb-a8a3-b78d9ada5676
sakila,"Показать 20 последних платежей на сумму больше 8.00 с идентификатором клиента, сотрудника, аренды, суммой и датой платежа, отсортировав их по дате платежа от новых к старым.",easy,9d371810-66c5-4696-a6ed-857f99475c7e
sakila,"Показать 20 последних платежей клиентов с суммой больше 8.00, указав идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,f982df31-d473-49d5-9bcd-12c1d3561eb6
sakila,"Показать последние 20 клиентских платежей с суммой больше 8.00, выведя идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортированные по дате платежа от новых к старым.",easy,187f8866-9b52-45b9-b5d2-2cfeebf5d495
sakila,"Показать 20 последних клиентских платежей на сумму более 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их по дате от новых к старым.",easy,db5f1c75-e149-4210-826f-6e1dccf7725d
sakila,"Показать 10 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,79e12197-f44c-43ea-9c97-67f51a473bd7
sakila,"Показать идентификатор платежа, идентификатор клиента, идентификатор сотрудника, сумму и дату платежа для платежей на сумму больше 8.00, отсортировав их по сумме по убыванию и ограничив результат 10 записями.",easy,98792c89-cae4-4298-b795-c79e2370f712
sakila,"Показать 20 последних платежных операций на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их от самых новых к старым.",easy,3080029d-8559-4016-b50b-8199996248ce
sakila,"Показать 20 последних платежей клиентов на сумму больше 9.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав их по дате платежа от новых к старым.",easy,982ba9e1-cfce-4cfc-bed5-750ba378ed8a
sakila,"Показать последние 20 платежей с суммой больше 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортированные по дате платежа от новых к старым.",easy,59e5d8aa-300d-4a1a-9629-e0fe566459b7
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по дате платежа по убыванию.",easy,5f1d9bf6-a244-498b-853b-cae76b3d16f2
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для транзакций на сумму больше 9.00, отсортированных по сумме по убыванию, ограничив результат 10 записями.",easy,824f809c-a611-41d7-ad15-4bfaad97d1cb
sakila,"Показать 20 последних платежей клиентов с суммой больше 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортировав их по дате платежа от новых к старым.",easy,56190d33-c39e-4bcf-8560-7f53438d3dcb
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа по убыванию.",easy,adb8be8e-6d37-4b7e-bc1e-511e4bb2437a
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для платежей на сумму выше 8.00, отсортировав их по сумме по убыванию и ограничив результат 20 записями.",easy,54d06772-c15c-4ff4-95dc-8c127270eca4
sakila,"Показать последние 20 платежей клиентов на сумму больше 8.00, отсортированные по дате платежа от новых к старым, с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа.",easy,9536c50d-7d7e-4214-a08b-5739fbf47a3d
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по дате платежа от новых к старым.",easy,0ee3ed2a-6a50-41a0-bc46-c1687b8fcd18
sakila,"Показать 20 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,81458735-6b3d-469c-98fc-0934c4bfd524
sakila,"Показать последние 20 платежей клиентов на сумму более 8.00, указав идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,1e58a7d0-fb6b-46c7-927b-c48f719e9f0c
sakila,"Показать 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по сумме по убыванию",easy,dd708062-a3f4-4363-bac1-3e619a07ab59
sakila,"Показать 20 крупнейших платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,bfe74843-ebd6-490d-9779-a6c9f52396cc
sakila,"Показать 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,e54b25a5-2b79-48a8-b29c-47bd764eac70
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для 10 самых крупных платежей свыше 8.00, отсортированных по сумме по убыванию.",easy,6b233993-1821-486b-bae6-6736b5c152a5
sakila,"Показать идентификаторы платежей, клиентов, сотрудников, суммы и даты для платежей на сумму больше 8.00, отсортировав их по сумме по убыванию и ограничив результат 20 операциями.",easy,fede62ca-dc15-4370-9c70-a929528257b4
